net,length_um
_1060_,469.9
_1062_,452.9
_1058_,442.55
_1056_,391.91
_1317_,387.35
net12,385.34
_1048_,384.34
_1321_,381.18
_0573_,372.26
_0561_,368.81
clknet_2_2__leaf_clk,359.445
net7,358.91
_1315_,358.2
net11,356.005
_0608_,355.76
clknet_2_3__leaf_clk,355.3
_1064_,349.16
_0600_,347.07
_1319_,344.38
_0728_,343.49
_0551_,342.11
_1312_,341.36
_0645_,340.46
_0652_,337.78
clknet_2_1__leaf_clk,333.56
net9,333.34
net8,329.76
_0602_,323.08
clknet_0_clk,317.46
net10,317.31
_1323_,314.795
_0623_,308.94
_1066_,307.91
_0619_,306.85
_0590_,304.49
_1077_,301.92
_0604_,296.36
_1068_,289.29
_1190_,288.2
_0651_,286.28
_1075_,283.84
_1070_,283.53
_0649_,282.74
_1079_,282.48
_0567_,280.44
_0553_,279.88
_0550_,275.585
_1395_,273.78
_0624_,268.62
_1400_,266.63
_1192_,264.19
_1149_,260.66
clknet_2_0__leaf_clk,260.56
_0577_,259.25
_0593_,254.85
_0629_,251.88
net14,250.96
_0654_,249.26
_0564_,248.6
_1081_,245.68
_0545_,245.58
_1398_,241.08
_0570_,236.45
_0585_,233.62
_0563_,231.87
_0934_,229.92
_1402_,228.08
_0641_,227.02
_0588_,223.02
_0606_,222.9
clk,222.87
_0542_,222.65
_1161_,221.73
net13,221.24
_0944_,221.23
_0554_,221.21
_1329_,220.78
_0611_,218.875
_0618_,218.45
_0733_,218.24
_0003_,217.25
_0595_,215.82
_1421_,214.16
_1104_,212.64
_0638_,212.33
_1313_,211.76
_1181_,210.22
_1338_,207.98
_1188_,207
_1220_,205.51
_0546_,205.24
_0575_,204.76
_1073_,202.5
_0547_,199.6
_0548_,199.48
_0591_,199.06
_0556_,196.71
_1544_,194.76
_1700_,193.44
_0543_,192.69
_1211_,192.54
_0584_,192.5
_0634_,191.21
_1083_,186.5
_1610_,185.44
_1229_,185.08
_1202_,184.66
_0644_,184.15
_0626_,182.81
_1682_,181.48
_1327_,181.14
_0560_,180.69
_1325_,179.99
_0614_,177.04
_1127_,176.82
_1186_,173.83
_0549_,172.94
_1303_,171.775
_1087_,171.26
_0621_,171.18
_0615_,171
net15,170.62
_1404_,170.26
_0568_,169.44
_0598_,168.855
_0576_,167.33
_1128_,166.64
_1542_,166.2
_1546_,164.88
_1184_,164.3
_0544_,163.06
_1172_,162.2
net5,161.55
_0596_,157.51
_1139_,157.13
_1115_,155.9
_0637_,155.28
_1194_,155.26
_1162_,155.16
_1550_,153.84
_1548_,153.76
_1196_,153.36
_1358_,152.88
_1085_,152.72
_1198_,152.19
_1294_,151.04
_1094_,150.7
clknet_leaf_20_clk,149.7
_1471_,147.87
_1408_,147.62
_1537_,146.99
_0000_,146.92
_1285_,146.575
_0559_,145.56
_1664_,144.82
_1054_,143.98
_1601_,143.36
_1554_,143.1
_1673_,142.78
clknet_leaf_30_clk,142.2
_1619_,142.17
_1257_,141.59
_1239_,140.74
_1646_,140.16
_1540_,139.77
_1572_,138.67
_1431_,138.54
_1480_,138.37
_1592_,137.94
_1267_,137.68
clknet_leaf_11_clk,135.58
_1349_,133.6
_1367_,133.16
clknet_leaf_36_clk,132.46
_1150_,132.44
_1095_,128.45
clknet_leaf_10_clk,128.42
_1412_,128.205
_1442_,127.64
_1410_,126.62
_1248_,126.44
_1581_,126.12
clknet_leaf_13_clk,126
_1276_,125.9
_0628_,123.96
_1628_,123.96
net6,122.82
_1637_,122.14
clknet_leaf_2_clk,120.14
_1709_,119.98
_1499_,118.98
net3,117.78
net4,115.88
_1655_,115.3
_1498_,114.66
clknet_leaf_8_clk,114.38
clknet_leaf_15_clk,113.84
clknet_leaf_37_clk,113.84
_1519_,113.72
_0581_,113.695
_1406_,113.64
clknet_leaf_1_clk,113.5
_1451_,112.72
_1386_,112.22
_1691_,111.66
_0582_,111.34
_0804_,109.62
_1432_,109.62
_1552_,109.26
clknet_leaf_19_clk,107.98
_1563_,107.62
clknet_leaf_41_clk,107.6
_1509_,107.59
_0809_,106.33
clknet_leaf_44_clk,105.92
_1461_,105.46
_0005_,105.28
_0863_,104
net1,103.78
clknet_leaf_27_clk,103.6
_0924_,102.285
clknet_leaf_28_clk,101.715
_1470_,101.7
_0858_,101.68
_1452_,101.5
_1377_,101.34
clknet_leaf_32_clk,100.96
net2,100.52
clknet_leaf_40_clk,100.48
_1538_,98.2
clknet_leaf_3_clk,97.5
clknet_leaf_42_clk,96.9
clknet_leaf_14_clk,96.88
clknet_leaf_23_clk,96.7
_1510_,93.66
_0004_,93.42
clknet_leaf_16_clk,92.52
_0750_,91.63
net18,91.12
_1441_,90.9
clknet_leaf_17_clk,90.72
clknet_leaf_29_clk,89.74
_1591_,88.32
_1489_,88.28
clknet_leaf_43_clk,87.26
clknet_leaf_0_clk,87.04
clknet_leaf_12_clk,86.815
clknet_leaf_35_clk,85.1
net22,84.64
clknet_leaf_39_clk,83.5
_0755_,83.48
_1396_,82.86
net16,82.08
clknet_leaf_22_clk,81.86
clknet_leaf_34_clk,79.88
ram\[50\]\[2\],79.74
_0635_,79.66
_1376_,79.62
clknet_leaf_7_clk,79.52
clknet_leaf_31_clk,78.9
_0658_,78.6
clknet_leaf_33_clk,78.28
net17,78.1
_0713_,77.7
clknet_leaf_9_clk,77.54
_0673_,77.41
clknet_leaf_4_clk,77.14
clknet_leaf_6_clk,76.86
clknet_leaf_21_clk,76.66
net19,76.54
_0931_,76.18
_0783_,75.05
net23,74.78
_0877_,74.68
clknet_leaf_25_clk,74
_0769_,72.66
net21,72.06
_0823_,71.98
ram\[50\]\[5\],71.64
_0947_,71.62
ram\[50\]\[3\],70.9
_0627_,70.86
_0537_,70.52
_0533_,70.43
_0727_,70.37
net20,69.44
clknet_leaf_18_clk,68.76
_1138_,67.4
_0531_,67.115
ram\[50\]\[4\],65.52
_0852_,64.42
_1171_,64.26
clknet_leaf_5_clk,64.1
clknet_leaf_38_clk,63.04
_1528_,62.46
_0535_,60.77
_0891_,60.74
_0762_,60.05
_1051_,59.495
_0798_,59.37
_0540_,58.94
_0816_,58.18
_0699_,57.98
_1004_,57.88
_0870_,57.145
ram\[50\]\[0\],56.9
_1010_,56.68
_0706_,56.34
_1137_,55.74
_0767_,55.2
_0876_,54.8
clknet_leaf_26_clk,53.81
_0555_,53.12
_0530_,52.865
_1114_,51.6
_0953_,51.4
_1201_,50.42
_0647_,50.08
_0822_,49.62
_0694_,49.54
_0838_,48.76
_0770_,48.64
_0962_,48.22
_0743_,47.64
_0930_,47.56
_0744_,47.44
_0906_,47.1
_0960_,47.1
_0821_,46.82
ram\[35\]\[1\],46.72
_0571_,46.18
_0768_,45.74
_1266_,44.8
